date,group1,group2,result
2020.12.03,PMA-AKO,PPI-MCH,win
2020.12.03,PMA-AKO,PPI-MCH,win
2020.12.03,PMA-AKO,PPI-MCH,win
2020.12.03,ALI-MKL,MCH-ARY,win
2020.12.03,ALI-MKL,MCH-ARY,win
2020.12.03,AKO-ALI,PPI-BSŁ,win
2020.12.03,AKO-ALI,PPI-BSŁ,win
2020.12.08,ALI-MKL,AKO-ARY,loss
2020.12.08,ALI-MKL,AKO-ARY,win
2020.12.08,ALI-MKL,AKO-ARY,loss
2020.12.09,AKO-ARY,PPI-MCH,loss
2020.12.09,AKO-ARY,PPI-MCH,loss
2020.12.10,AKO-KSA,ALI-BSŁ,win
2020.12.10,AKO-KSA,ALI-BSŁ,win
2020.12.10,AKO-KSA,ALI-BSŁ,win
2020.12.12,AKO-PMA,PPI-BSŁ,win
2020.12.12,AKO-PMA,PPI-BSŁ,win
2020.12.14,BSŁ-MCH,MKL-PMA,win
2020.12.14,BSŁ-MCH,MKL-PMA,win
2020.12.16,AKO-MKL,MWA-KDĄ,win
2020.12.16,AKO-MKL,MWA-KDĄ,win
2020.12.16,AKO-MKL,MWA-KDĄ,win
2020.12.17,AKO-MCH,MWA-PMA,win
2020.12.17,AKO-MCH,MWA-PMA,win
2020.12.17,AKO-MWA,KDĄ-MCH,win
2020.12.17,AKO-MWA,KDĄ-MCH,win
