date,group1,group2,result
2020.12.03,PMA-AKO,PPI-MCH,win
2020.12.03,PMA-AKO,PPI-MCH,win
2020.12.03,PMA-AKO,PPI-MCH,win
2020.12.03,ALI-MKL,MCH-ARY,win
2020.12.03,ALI-MKL,MCH-ARY,win
2020.12.03,AKO-ALI,PPI-BSŁ,win
2020.12.03,AKO-ALI,PPI-BSŁ,win
2020.12.08,ALI-MKL,AKO-ARY,loss
2020.12.08,ALI-MKL,AKO-ARY,win
2020.12.08,ALI-MKL,AKO-ARY,loss
2020.12.09,AKO-ARY,PPI-MCH,loss
2020.12.09,AKO-ARY,PPI-MCH,loss
2020.12.10,AKO-KSA,ALI-BSŁ,win
2020.12.10,AKO-KSA,ALI-BSŁ,win
2020.12.10,AKO-KSA,ALI-BSŁ,win
2020.12.12,AKO-PMA,PPI-BSŁ,win
2020.12.12,AKO-PMA,PPI-BSŁ,win
2020.12.14,BSŁ-MCH,MKL-PMA,win
2020.12.14,BSŁ-MCH,MKL-PMA,win
2020.12.16,AKO-MKL,MWA-KDĄ,win
2020.12.16,AKO-MKL,MWA-KDĄ,win
2020.12.16,AKO-MKL,MWA-KDĄ,win
2020.12.17,AKO-MCH,MWA-PMA,win
2020.12.17,AKO-MCH,MWA-PMA,win
2020.12.17,AKO-MWA,KDĄ-MCH,win
2020.12.17,AKO-MWA,KDĄ-MCH,win
2020.12.17,MWA-BSŁ,ALI-MKL,loss
2020.12.17,MWA-BSŁ,ALI-MKL,win
2020.12.17,ALI-MKL,AKO-KSA,win
2020.12.17,ALI-MKL,AKO-KSA,win
2020.12.17,ALI-MWA,AKO-KSA,win
2020.12.17,ALI-MWA,AKO-KSA,win
2021.01.13,MWA-MKL,AKO-ARY,win
2021.01.13,MWA-MKL,AKO-ARY,win
2021.01.14,MKL-MMO,MWA-KSA,win
2021.01.14,MKL-MMO,MWA-KSA,win
2021.01.15,AKO-KDĄ,MWA-KSA,win
2021.01.15,AKO-KDĄ,MWA-KSA,win
2021.01.15,AKO-KDĄ,MWA-KSA,win
2021.01.15,AKO-KDĄ,MWA-KSA,win
2021.01.19,AKO-KDĄ,MWA-ALI,win
2021.01.19,AKO-KDĄ,MWA-ALI,win
2021.01.19,AKO-KDĄ,MWA-ALI,win
2021.01.19,AKO-KDĄ,MWA-ALI,win
2021.01.21,KDĄ-ALI,MWA-BSŁ,win
2021.01.21,KDĄ-ALI,MWA-BSŁ,loss
2021.01.21,KDĄ-AKO,MWA-MCH,win
2021.01.21,KDĄ-AKO,MWA-MCH,win
2021.01.21,KDĄ-AKO,MWA-MCH,loss
2021.01.21,KDĄ-AKO,MWA-MCH,win
2021.01.21,AKO-ALI,MWA-MMO,win
2021.01.21,AKO-ALI,MWA-MMO,win
2021.01.21,AKO-ALI,MWA-MMO,win
2021.01.22,AKO-MWA,MMO-MKL,win
2021.01.22,AKO-MWA,MMO-MKL,loss
2021.01.22,AKO-MWA,MMO-MKL,win
2021.01.22,AKO-MWA,MMO-MKL,win
2021.01.26,AKO-MCH,MMO-ALI,loss
2021.01.26,AKO-MCH,MMO-ALI,win
2021.01.26,AKO-MCH,MMO-ALI,loss
2021.01.26,AKO-MMO,MCH-MWA,loss
2021.01.26,AKO-MMO,MCH-MWA,win
2021.01.26,AKO-MMO,MCH-MWA,loss
2021.01.27,AKO-KDĄ,MCH-MWA,win
2021.01.27,AKO-KDĄ,MCH-MWA,loss
2021.01.27,AKO-KDĄ,MCH-MWA,loss
2021.01.27,KDĄ-MCH,ARY-MWA,loss
2021.01.27,AKO-MMO,MWA-MCH,win
2021.01.27,AKO-MMO,MWA-MCH,win
2021.01.27,AKO-MMO,MWA-MCH,win
2021.01.27,AKO-MMO,MWA-MCH,win
2021.01.29,AKO-KDĄ,MWA-MCH,win
2021.01.29,AKO-KDĄ,MWA-MCH,loss
2021.01.29,AKO-MCH,MWA-MMO,win
2021.01.29,AKO-MCH,MWA-MMO,loss
2021.01.29,AKO-MCH,MWA-MMO,loss
2021.02.02,ALI-MCH,MMO-MWA,loss
2021.02.02,ALI-MCH,MMO-MWA,win
2021.02.02,AKO-MMO,MCH-MWA,win
2021.02.02,AKO-MMO,MCH-MWA,win
2021.02.02,AKO-MMO,MCH-MWA,loss
2021.02.03,AKO-BKO,MMO-BTO,win
2021.02.03,AKO-BKO,MMO-BTO,loss
2021.02.03,ALI-KDĄ,MWA-MMO,loss
2021.02.03,ALI-KDĄ,MWA-MMO,loss
2021.02.03,ALI-KDĄ,MWA-MMO,loss
