date,group1,group2,result
2020.12.03,PKU-FMA,PLA-BSZ,loss
2020.12.03,PKU-FMA,PLA-BSZ,loss
2020.12.03,PKU-FMA,PLA-BSZ,loss
2020.12.03,PKU-FMA,PLA-BSZ,win
2020.12.03,PKU-FMA,PLA-BSZ,win
2020.12.03,PKU-FMA,PLA-BSZ,loss
2020.12.03,PKU-FMA,PLA-BSZ,loss
2020.12.03,PKU-FMA,PLA-BSZ,win
2020.12.03,PKU-PLA,FMA-BSZ,win
2020.12.03,PKU-PLA,FMA-BSZ,win
2020.12.03,PKU-PLA,FMA-BSZ,loss
2020.12.03,PKU-PLA,FMA-BSZ,loss
2020.12.10,PKU-KAT,BUD-BSZ,loss
2020.12.10,PKU-KAT,BUD-BSZ,loss
2020.12.10,PKU-KAT,BUD-BSZ,loss
2020.12.10,PKU-MAX,BUD-BSZ,win
2020.12.10,PKU-MAX,BUD-BSZ,win
2020.12.10,PKU-MAX,BUD-BSZ,loss
2020.12.10,PKU-MAX,BUD-BSZ,loss
2020.12.10,PKU-MAX,BUD-BSZ,loss
2020.12.10,PKU-MAX,BUD-BSZ,loss
